Presentation Category (choose the best fit),Room #,"All presentations will be paired with a teacher advisor. Is there a teacher already associated with your presentation, such as club advisor or class teacher? If yes, please write their last name below. ","Name of your presentation: ""Creative Title: Descriptive Title""  (15 words max)",Duration,Duration of Presentation
"3 FEST
10:20-10:55",130 Farlow,Novak,Volleybros,35 min,35 min
"3 FEST
10:20-10:55",132 Yang,Langford,K-Pop Dance 101: Learning Professional Dances from Unprofessional People,35 min,35 min
"3 FEST
10:20-10:55","133 Felder, J",Sabbagh,Kickin' It : Learn how to defend yourself with style,35 min,35 min
"3 FEST
10:20-10:55",134 Newmark,Quezada,Poker 101,35 min,35 min
"3 FEST
10:20-10:55",135 Martignoni,Jorstad,Take Your Shot,35 min,35 min
"3 FEST
10:20-10:55",136 Palmieri,Trombley,Square Up!!!!,35 min,35 min
"3 FEST
10:20-10:55",141 Caudill,Hartley,Soccer Starz ,35 min,35 min
"3 FEST
10:20-10:55",142 Hames,Adair,Tennis : The game of hitting a ball back and forth. ,35 min,35 min
"3 FEST
10:20-10:55",144 Russell,Beaulieu,Wii Love Dancing: Just Just Dance,35 min,35 min
"3 FEST
10:20-10:55",207 Page,Rundgren,Sing Your Heart Out!: Karaoke Edition,35 min,35 min
"3 FEST
10:20-10:55",212 Music,Donovan,Dance Evolution: The Life of a Dancer,35 min,35 min
"3 FEST
10:20-10:55",223 Slattery,Fitzhenry,Football Frenzy: Learning and Playing the game of football,35 min,35 min
"3 FEST
10:20-10:55",225 Grimes,Yeboah,The Voice: Season 23,35 min,35 min
"3 FEST
10:20-10:55",226 Hess,Kalman,Spike Ball,35 min,35 min
"3 FEST
10:20-10:55",227 Velasquez,Hendrickx,Breathe Deep: yoga for all,35 min,35 min
"3 FEST
10:20-10:55",231 Kellogg,Hollander,Soccer Tennis: Combining Two of the Greatest Sports,35 min,35 min
"3 FEST
10:20-10:55",234 Chalifoux,Gagnon,Ultimate frisbee: Learn the rules and regulations of ultimate frisbee and have a chance to play ,35 min,35 min
"3 FEST
10:20-10:55",239 Pedersen,Underwood,Big Cards: Learning and Playing Poker,35 min,35 min
"3 FEST
10:20-10:55",240 Ricci,Yost,Slam Dunk Academy,35 min,35 min
"4 Community
11:00-11:35",112 Setubal,Gorski,The History of Werewolves (Pair with Birds Aren't Real),15 min,15 min
"4 Community
11:00-11:35",112 Setubal,Gorski,Birds aren't real: behind the conspiracy (Pair with History of Werewolves),15 min,15 min
"4 Community
11:00-11:35",116 Wajima,Ishida,Phoenix Stock Exchange: Candy Stock Market Simulation,35 min,35 min
"4 Community
11:00-11:35",129  Dyrdahl,Lindgren,How to pick up chicks (Pair with Legal Lies: The Food Industry),15 min,15 min
"4 Community
11:00-11:35",129  Dyrdahl,Lindgren,Legal Lies: The Food Industry (Pair with How to Pick Up Chicks),15 min,15 min
"4 Community
11:00-11:35",132 Yang,Langford,How NASA Has and Will take us into Another World,35 min,35 min
"4 Community
11:00-11:35","133  Felder, J",Sabbagh,Video games history,35 min,35 min
"4 Community
11:00-11:35",135 Martignoni,Jorstad, Sex Education in America: A Discussion About the Necessity of Quality Sex Education in Schools,35 min,35 min
"4 Community
11:00-11:35",136 Palmieri,Trombley,Sports: The Greatest Athlete of All Time Debate,35 min,35 min
"4 Community
11:00-11:35",139 Klein,Ferretti,QSA Game Night: Test Your LGBTQ+ Knowledge,35 min,35 min
"4 Community
11:00-11:35",141 Caudill,Hartley,Chalk of the town!,35 min,35 min
"4 Community
11:00-11:35",145 Weaver,Jelinek,The history of Chicken and Waffles,35 min,35 min
"4 Community
11:00-11:35",203 Art Rm,Guerra,Fashion & Sustainability: Save the World and Look Good Doing It!,35 min,35 min
"4 Community
11:00-11:35",207 Page,Rundgren,"The Definition of ""Whiteness"": An Exploration of South Asian American History",35 min,35 min
"4 Community
11:00-11:35",223 Slattery,Kalman,The Struggle for Freedom: This History of Lynching in the United States,35 min,35 min
"4 Community
11:00-11:35",225 Grimes,Yeboah,Two Steps: Creating Games for Elementary Students,35 min,35 min
"4 Community
11:00-11:35",228 Sauzet,Carrizo,Fifa World Cup: Winners over time,35 min,35 min
"4 Community
11:00-11:35",230 Arcaro,Barrow,Alumni Careers in Healthcare,35 min,35 min
"4 Community
11:00-11:35",231 Kellogg,Moreau,What's The Big Deal About Representation?,35 min,35 min
"4 Community
11:00-11:35",232 Foster,Voss,Flower Power: Make your own paper flowers and pressed-flower bookmarks!,35 min,35 min
"4 Community
11:00-11:35",233 Grunden,Zellner,Bartholomew and the Oobleck: The reading and making of oobleck,35 min,35 min
"4 Community
11:00-11:35",234 Chalifoux,Gagnon,Decor-cake!,35 min,35 min
"4 Community
11:00-11:35",236 Rios,Ziegler,Blue Milk and Cookies: A STAR WARS Experience,35 min,35 min
"4 Community
11:00-11:35",238 Schmitz,Dumont,Crocheting with Plarn,35 min,35 min
"4 Community
11:00-11:35",240 Ricii,Yost,Car Culture: Car Community in Raleigh & All Things Cars,35 min,35 min
"5 Experience
11:40-12:15",112 Setubal,Gorski,"HUGE, OVERLY-COMPLEX, ROBOTS! Exploring competitive robotics and its applications by driving robots.",35 min,35 min
"5 Experience
11:40-12:15","114 Felder, K",Tanaka,Writing and Wizards: why dungeons and dragons forms a useful creative writing outlet,35 min,35 min
"5 Experience
11:40-12:15",118 Drama,Weatherby,Battle of the Cakes: Cake Decorating Competition,35 min,35 min
"5 Experience
11:40-12:15",130 Farlow,Novak,Nailed It: RCHS Edition!!!,35 min,35 min
"5 Experience
11:40-12:15",134 Newmark,Quezada,Student Legislative Assembly: What's our State Government Up to?,35 min,35 min
"5 Experience
11:40-12:15",135 Martignoni,Nazario,"""Holy Guacamole! (WARNING: For Avocado Lovers Only)""",35 min,35 min
"5 Experience
11:40-12:15",141 Caudill,Fournier,Snout to Tail and the Brain in Between: Intelligence of Therapy Dogs,35 min,35 min
"5 Experience
11:40-12:15",142 Hames,Adair,Healthy Snacks How To and Make Off,35 min,35 min
"5 Experience
11:40-12:15",144 Russell,Beaulieu,Scrub Sense: How to Make Body and Lip Scrubs,35 min,35 min
